DATE,PM_10,PM_2_5,TEMP,PRESS,HUMID
20231130-042130,5.20,3.00,16.88,99012.88,40.75
20231130-042356,5.13,2.88,16.87,99008.69,40.45
20231130-042623,4.93,2.75,16.87,99021.69,40.52
20231130-042849,3.97,2.88,16.87,99010.50,40.42
20231130-043115,4.32,2.60,16.84,98988.31,40.25
20231130-043341,4.25,2.50,16.79,98977.81,40.71
20231130-043608,4.07,2.70,16.83,98985.94,40.46
20231130-043834,4.65,2.85,16.81,98990.63,40.60
20231130-044100,4.32,2.83,16.81,98983.56,40.74
20231130-044326,5.47,3.00,16.79,98980.44,40.52
20231130-044552,5.15,2.80,16.78,98991.84,40.43
20231130-044819,5.05,2.88,16.78,98984.03,40.71
20231130-045047,4.72,2.63,16.77,98976.47,40.76
20231130-045313,4.47,2.78,16.77,98979.84,40.30
20231130-045539,4.70,2.75,16.72,98968.56,40.72
20231130-045806,4.50,2.88,16.74,98966.50,40.53
20231130-050034,3.83,2.92,16.71,98961.75,40.50
20231130-050300,5.45,2.92,16.72,98978.97,40.90
20231130-050527,4.63,2.70,16.70,98976.59,40.75
20231130-050753,4.43,2.58,16.70,98963.59,40.51
20231130-051021,4.35,2.78,16.65,98955.69,40.50
20231130-051247,5.15,2.80,16.70,98960.19,40.32
20231130-051513,4.75,2.95,16.68,98954.41,40.42
20231130-051739,5.55,3.00,16.63,98943.94,40.48
20231130-052006,4.68,2.83,16.66,98972.09,40.53
20231130-052232,5.38,2.95,16.64,98979.34,40.38
20231130-052459,4.18,2.70,16.63,98983.72,40.26
20231130-052726,4.03,2.72,16.58,98965.44,40.76
20231130-052953,4.03,2.60,16.63,98962.91,40.67
20231130-053221,4.05,2.97,16.62,98955.34,40.63
20231130-053447,4.55,2.78,16.60,98941.78,40.29
20231130-053940,4.72,2.83,16.50,98918.19,40.92
20231130-054206,4.55,2.65,16.53,98943.69,40.54
20231130-054433,4.53,3.03,16.61,98949.34,40.50
20231130-054700,4.88,2.70,16.66,98948.66,40.25
20231130-054926,3.85,2.58,16.70,98944.56,40.40
20231130-055152,4.35,2.67,16.75,98952.50,40.31
20231130-055646,3.60,2.47,16.78,98942.38,40.10
20231130-055914,4.35,2.40,16.78,98941.63,40.06
20231130-060140,4.18,2.38,16.66,98922.66,39.59
20231130-060406,3.08,2.25,16.80,98952.56,39.90
20231130-060632,3.15,2.10,16.81,98954.16,39.43
20231130-060858,2.92,2.20,16.82,98945.31,39.36
20231130-061125,2.50,2.00,16.85,98950.88,39.39
20231130-061352,3.60,2.30,16.87,98941.00,39.08
20231130-061619,3.42,2.13,16.85,98924.84,39.30
20231130-061846,3.30,2.13,16.84,98919.84,39.51
20231130-062113,2.55,1.80,16.88,98924.34,39.09
20231130-062339,2.78,1.95,16.88,98926.94,39.29
20231130-062606,3.00,2.10,16.91,98936.13,38.99
20231130-062832,2.63,1.70,16.90,98944.94,39.12
20231130-063059,3.17,1.92,16.91,98946.53,38.58
20231130-063329,3.05,2.08,16.93,98960.91,38.59
20231130-063556,3.28,2.00,16.93,98955.69,38.74
20231130-063823,2.60,1.80,16.93,98942.66,38.94
20231130-064049,2.85,1.60,16.95,98958.06,38.48
20231130-064318,2.30,1.88,16.93,98950.47,38.64
20231130-064545,3.70,1.90,16.94,98952.06,38.50
20231130-064813,2.38,1.60,16.97,98945.59,38.32
20231130-065040,2.08,1.52,16.92,98932.47,38.41
20231130-065306,1.83,1.58,16.99,98946.16,38.49
20231130-065534,2.30,1.70,16.99,98944.34,38.08
20231130-065800,2.60,1.67,17.00,98945.91,37.93
20231130-070027,1.77,1.33,17.02,98943.88,37.71
20231130-070253,2.00,1.50,17.10,98934.91,37.93
20231130-070519,1.40,1.20,17.20,98930.66,38.07
20231130-070746,1.92,1.40,17.31,98926.41,37.86
20231130-071012,1.45,1.30,17.42,98915.91,37.93
20231130-071239,1.60,1.48,17.52,98918.69,37.87
20231130-071506,1.67,1.40,17.61,98937.31,37.09
20231130-071735,1.75,1.40,17.67,98923.31,37.25
20231130-072001,1.70,1.40,17.76,98937.53,37.18
20231130-072227,1.73,1.40,17.80,98936.81,36.95
20231130-072453,1.58,1.33,17.86,98927.28,37.44
20231130-072720,1.60,1.40,17.92,98931.53,36.82
20231130-072948,1.88,1.30,17.98,98932.38,37.12
20231130-073214,1.90,1.35,18.06,98942.41,37.14
20231130-073442,2.45,1.42,18.11,98939.88,36.56
20231130-073710,1.75,1.30,18.17,98944.13,36.47
20231130-073936,1.50,1.15,18.20,98943.63,36.93
20231130-074202,1.30,1.10,18.27,98955.47,36.45
20231130-074430,1.30,1.20,18.32,98945.13,36.59
20231130-074656,1.20,1.10,18.36,98933.16,36.72
20231130-074922,1.77,1.20,18.43,98933.78,35.90
20231130-075148,1.20,1.10,18.47,98924.44,36.10
20231130-075414,1.30,1.20,18.53,98938.34,36.04
20231130-075641,1.48,1.17,18.54,98932.09,36.23
20231130-075907,1.20,1.10,18.64,98937.41,35.38
20231130-080134,2.17,1.23,18.67,98939.53,36.22
20231130-080401,1.85,1.27,18.68,98941.91,35.69
20231130-080627,1.60,1.10,18.78,98936.78,35.89
20231130-080853,2.05,1.10,18.83,98939.47,35.36
20231130-081119,1.45,1.30,18.87,98921.47,35.65
20231130-081345,1.83,1.30,18.88,98921.25,35.20
20231130-081612,1.10,1.00,18.94,98915.03,35.21
20231130-081838,1.38,1.20,18.96,98905.09,34.97
20231130-082107,1.60,1.20,19.05,98910.69,35.36
20231130-082336,1.77,1.30,19.10,98915.94,34.55
20231130-082612,1.40,1.20,19.14,98925.66,35.27
20231130-082838,1.65,1.30,19.18,98929.34,35.05
20231130-083331,1.25,1.15,19.17,98938.22,34.92
20231130-083557,2.13,1.40,19.24,98935.41,34.80
20231130-083823,1.63,1.38,19.33,98947.03,34.30
20231130-084050,1.55,1.15,19.36,98951.75,34.59
20231130-084316,12.70,1.98,19.42,98940.31,34.44
20231130-084543,1.67,1.30,19.55,98942.50,34.56
20231130-084809,4.22,1.70,19.63,98940.19,34.50
20231130-085036,1.35,1.20,19.65,98939.94,34.40
20231130-085304,4.43,1.40,19.72,98937.91,36.17
20231130-085531,3.55,1.33,19.75,98940.81,34.85
20231130-085757,3.53,1.27,19.79,98926.19,34.12
20231130-090024,2.55,1.30,19.77,98928.28,34.90
20231130-090251,1.75,1.15,19.83,98944.78,34.84
20231130-090519,1.10,1.00,19.84,98948.97,34.26
20231130-090747,1.27,1.10,19.80,98947.91,34.31
20231130-091013,1.42,1.33,19.85,98955.00,33.98
20231130-091239,1.42,1.30,19.93,98967.59,33.80
20231130-091507,1.20,1.00,19.92,98968.66,34.17
20231130-091733,1.65,1.30,19.96,98980.16,34.24
20231130-091959,1.80,1.33,20.02,98985.19,34.36
20231130-092226,2.33,1.30,20.06,98975.03,34.79
20231130-092452,1.60,1.38,20.09,98974.53,34.83
20231130-092718,1.63,1.20,20.09,98975.28,34.77
20231130-092945,1.85,1.25,20.12,98979.25,34.35
20231130-093220,1.13,1.00,20.16,98986.38,34.83
20231130-093446,1.63,1.10,20.21,98993.44,34.09
20231130-093712,1.40,1.10,20.25,98990.06,34.17
20231130-093941,1.63,1.13,20.32,98976.75,33.85
20231130-094208,1.30,1.20,20.35,98974.44,33.87
20231130-094435,1.20,1.10,20.34,98975.44,33.27
20231130-094703,1.65,1.20,20.36,98978.63,33.27
20231130-094930,1.10,1.00,20.37,98995.13,33.67
20231130-095156,5.15,1.40,20.45,98997.25,33.39
20231130-095424,3.42,1.30,20.46,98999.59,33.75
20231130-095651,4.90,1.58,20.49,99006.19,33.64
20231130-095917,1.20,1.10,20.52,99008.28,33.42
20231130-100144,1.52,1.20,20.54,99003.56,33.81
20231130-100410,1.30,1.20,20.62,99009.09,33.66
20231130-100636,2.05,1.30,20.60,99013.81,33.83
20231130-100903,2.08,1.42,20.64,99021.94,33.53
20231130-101130,3.88,1.40,20.70,99015.69,33.83
20231130-101357,1.92,1.30,20.81,99019.94,33.34
20231130-101625,2.22,1.15,20.82,99018.88,33.47
20231130-101856,1.88,1.30,20.83,99017.84,33.61
20231130-102124,2.63,1.40,20.87,99017.09,33.82
20231130-102351,2.20,1.25,20.96,99020.03,33.19
20231130-102622,4.85,1.30,21.00,99021.88,33.21
20231130-102848,2.78,1.30,21.05,99023.72,33.50
20231130-103116,1.58,1.10,21.07,99029.47,33.05
20231130-103343,1.33,1.23,21.09,99030.00,33.04
