DATE,PM_10,PM_2_5,TEMP,PRESS,HUMID
20231129-125236,1.42,1.13,21.78,99592.78,33.86
20231129-125525,1.50,1.20,21.77,99590.41,33.88
20231129-125752,1.52,1.10,21.77,99580.69,33.52
20231129-130019,1.20,1.10,21.78,99577.03,33.41
20231129-130245,1.20,1.10,21.86,99575.78,33.55
20231129-130512,1.67,1.10,21.86,99570.53,33.53
20231129-130743,2.90,1.20,21.86,99560.03,33.73
20231129-131011,6.25,1.73,21.91,99560.88,34.69
20231129-131238,1.73,1.10,21.94,99554.34,35.06
20231129-131505,5.47,1.40,21.96,99557.50,35.51
20231129-131734,11.63,1.45,21.94,99549.88,35.93
20231129-132001,7.60,1.67,21.97,99544.13,35.83
20231129-132228,10.60,1.40,21.97,99544.13,35.60
20231129-132458,1.38,1.20,22.00,99542.81,35.74
20231129-132725,2.70,1.23,22.00,99534.94,35.43
20231129-132952,1.75,1.23,22.01,99529.44,35.62
20231129-133218,4.80,1.40,22.01,99520.78,35.35
20231129-133444,4.63,1.40,22.05,99514.75,35.63
20231129-133713,3.60,1.15,22.04,99518.44,35.77
20231129-133939,2.28,1.20,22.07,99523.19,34.91
20231129-134206,2.88,1.20,22.02,99524.97,35.17
20231129-134433,1.65,1.10,22.06,99534.72,34.56
20231129-134701,2.53,0.90,22.01,99531.28,34.96
20231129-134927,1.23,1.10,22.03,99523.94,34.61
20231129-135153,1.30,0.93,22.04,99526.31,34.83
20231129-135420,1.50,1.10,22.08,99518.72,34.01
20231129-135647,2.63,1.08,22.04,99507.13,34.42
20231129-135913,1.83,1.13,22.07,99507.44,34.34
20231129-140139,1.10,1.00,22.10,99511.38,33.94
20231129-140405,2.58,0.95,22.17,99510.13,34.12
20231129-140631,0.90,0.77,22.18,99509.06,33.90
20231129-140859,2.22,1.00,22.16,99505.13,33.90
20231129-141125,0.80,0.80,22.15,99503.53,33.72
20231129-141352,1.17,0.70,22.17,99499.59,33.78
20231129-141620,0.75,0.75,22.17,99504.06,33.83
20231129-141847,1.95,0.77,22.18,99497.78,33.59
20231129-142116,1.52,0.90,22.17,99494.34,33.91
20231129-142343,1.70,0.90,22.21,99494.66,33.65
20231129-142609,0.75,0.70,22.19,99489.66,33.59
20231129-142835,0.70,0.70,22.21,99490.16,33.77
20231129-143101,1.13,1.02,22.23,99484.66,33.81
20231129-143327,1.67,0.80,22.22,99478.63,34.00
20231129-143556,2.08,0.90,22.24,99481.78,34.09
20231129-144050,0.73,0.73,22.27,99462.13,33.86
20231129-144316,0.70,0.70,22.28,99472.38,33.85
20231129-144542,2.00,0.90,22.26,99461.31,33.81
20231129-145034,2.30,1.00,22.28,99461.88,33.54
20231129-145301,1.25,0.70,22.28,99461.06,33.38
20231129-145527,1.65,0.90,22.29,99455.56,33.30
20231129-145754,1.38,0.90,22.34,99458.22,33.20
20231129-150022,1.15,0.90,22.30,99441.38,33.12
20231129-150248,0.77,0.65,22.30,99451.09,33.21
20231129-150517,0.73,0.70,22.36,99447.44,33.02
20231129-150744,2.78,0.70,22.29,99441.63,33.15
20231129-151010,8.05,1.00,22.33,99442.72,32.95
20231129-151237,1.05,0.77,22.30,99438.75,32.60
20231129-151504,0.68,0.60,22.33,99448.72,32.94
20231129-151730,0.77,0.63,22.30,99444.00,32.70
20231129-151956,8.55,1.13,22.31,99440.34,32.44
20231129-152224,0.80,0.70,22.31,99445.59,32.89
20231129-152450,0.95,0.70,22.28,99438.22,32.86
20231129-152716,1.08,0.73,22.27,99438.47,32.84
20231129-152943,1.40,0.80,22.23,99438.19,32.11
20231129-153209,0.90,0.70,22.24,99437.13,32.34
20231129-153435,0.60,0.60,22.21,99435.03,32.24
20231129-153702,2.22,0.95,22.26,99432.44,32.07
20231129-153929,0.70,0.70,22.20,99432.66,32.04
20231129-154155,1.17,0.70,22.19,99439.75,32.25
20231129-154422,1.10,0.80,22.14,99434.47,32.42
20231129-154649,0.80,0.70,22.18,99440.00,32.23
20231129-154917,1.08,0.88,22.16,99436.84,32.05
20231129-155143,0.88,0.80,22.20,99441.31,32.62
20231129-155412,0.68,0.68,22.13,99435.53,32.43
20231129-155639,2.05,0.65,22.18,99435.53,32.45
20231129-155905,1.20,0.70,22.18,99438.16,32.42
20231129-160131,0.90,0.88,22.18,99442.63,32.79
20231129-160358,0.70,0.70,22.09,99426.56,32.47
20231129-160624,1.02,0.88,22.15,99435.28,32.38
20231129-160850,0.60,0.60,22.14,99438.91,32.83
20231129-161116,1.00,0.90,22.10,99436.03,32.48
20231129-161342,0.80,0.70,22.13,99439.97,33.05
20231129-161610,0.85,0.70,22.07,99438.38,32.62
20231129-161837,0.80,0.80,22.07,99438.38,32.97
20231129-162104,0.85,0.85,22.06,99431.53,32.52
20231129-162330,0.68,0.68,22.10,99433.41,32.62
20231129-162825,1.95,0.82,22.13,99432.09,32.89
20231129-163051,1.05,0.80,22.09,99426.56,32.75
20231129-163318,0.80,0.80,22.10,99430.78,32.79
20231129-163545,0.88,0.80,22.10,99429.97,32.25
20231129-163811,0.70,0.70,22.08,99432.88,32.71
20231129-164039,0.70,0.70,22.05,99417.63,32.93
20231129-164305,0.73,0.73,22.05,99412.38,32.49
20231129-164532,2.33,0.80,22.00,99401.06,33.11
20231129-164759,0.82,0.70,21.89,99396.78,33.16
20231129-165027,1.80,0.73,21.86,99408.59,33.20
20231129-165253,0.65,0.65,21.87,99404.16,33.21
20231129-165521,1.02,0.70,21.86,99405.16,33.61
20231129-165747,0.73,0.60,21.85,99406.22,33.73
20231129-170013,0.60,0.60,21.83,99403.06,34.00
20231129-170240,0.80,0.70,21.79,99396.75,34.22
20231129-170506,1.05,0.70,21.81,99408.56,34.24
20231129-170733,1.40,0.70,21.82,99402.28,34.60
20231129-171000,1.00,0.75,21.81,99403.31,34.53
20231129-171226,2.00,0.80,21.81,99405.16,34.69
20231129-171452,1.30,0.50,21.88,99408.34,36.16
20231129-171719,2.13,0.80,21.85,99409.66,35.18
20231129-171945,2.30,0.75,21.81,99397.28,34.70
20231129-172214,1.25,1.13,21.77,99409.31,35.32
20231129-172442,1.42,0.80,21.73,99405.59,34.99
20231129-172708,0.70,0.70,21.77,99406.69,35.46
20231129-172934,1.23,0.70,21.79,99399.38,35.61
20231129-173203,1.45,0.77,21.76,99405.91,35.63
20231129-173431,2.90,0.70,21.78,99401.19,35.63
20231129-173657,0.80,0.77,21.76,99397.25,35.57
20231129-173923,2.83,0.98,21.72,99386.44,35.76
20231129-174151,0.82,0.70,21.74,99378.34,35.42
20231129-174417,2.00,0.75,21.73,99385.41,35.66
20231129-174644,1.70,0.80,21.76,99377.06,35.98
20231129-174910,2.05,0.60,21.70,99375.41,35.83
20231129-175138,1.25,0.90,21.67,99381.16,35.89
20231129-175405,2.00,1.00,21.67,99375.91,36.29
20231129-175635,1.52,0.80,21.60,99363.00,35.69
20231129-175901,2.30,0.90,21.59,99369.31,36.01
20231129-180127,3.10,0.73,21.64,99368.56,36.39
20231129-180354,1.42,0.70,21.64,99379.06,36.17
20231129-180621,1.92,0.60,21.63,99366.97,36.12
20231129-180850,1.52,0.73,21.61,99364.63,36.37
20231129-181116,1.23,0.80,21.59,99361.44,36.16
20231129-181342,1.77,0.80,21.59,99361.44,36.16
20231129-181609,2.60,0.82,21.58,99354.63,36.50
20231129-181835,2.75,0.82,21.56,99361.94,36.33
20231129-182101,2.47,0.88,21.55,99362.19,36.90
20231129-182327,2.15,0.82,21.57,99362.75,36.44
20231129-182555,10.10,1.10,21.55,99351.72,36.64
20231129-182822,4.18,1.08,21.53,99351.97,36.66
20231129-183049,2.90,1.05,21.52,99350.38,36.49
20231129-183315,3.28,0.82,21.50,99357.72,36.59
20231129-183541,3.60,0.93,21.53,99356.41,36.53
20231129-183813,0.98,0.70,21.52,99352.22,36.79
20231129-184039,1.00,0.90,21.53,99359.81,36.91
20231129-184305,0.90,0.80,21.52,99354.84,36.97
20231129-184531,2.95,0.80,21.47,99354.78,36.96
20231129-184757,2.65,1.58,21.44,99352.66,36.96
20231129-185025,1.77,0.90,21.38,99345.81,37.06
20231129-185251,1.42,1.08,21.46,99345.34,37.07
20231129-185518,2.40,1.00,21.44,99342.19,36.91
20231129-190022,2.03,1.10,21.38,99327.44,37.49
20231129-190249,2.33,0.90,21.39,99327.19,37.05
20231129-190516,2.15,0.90,21.40,99325.38,37.56
20231129-190742,2.35,0.90,21.40,99333.25,37.66
20231129-191009,2.72,1.00,21.39,99332.44,37.21
20231129-191235,3.47,1.20,21.36,99329.56,37.69
20231129-191503,2.83,1.20,21.37,99329.31,37.66
20231129-191729,3.38,1.00,21.35,99341.06,37.75
20231129-191955,1.52,1.10,21.37,99325.88,37.74
20231129-192223,2.00,1.23,21.34,99332.44,37.61
20231129-192451,2.03,1.10,21.36,99340.81,37.50
20231129-192718,2.33,1.27,21.29,99335.00,37.54
20231129-192945,4.05,1.05,21.33,99335.31,37.75
20231129-193211,3.72,1.10,21.34,99339.50,37.49
20231129-193437,2.97,1.30,21.40,99352.41,38.04
20231129-193947,3.25,1.40,21.18,99348.31,37.53
20231129-194215,7.07,1.65,21.07,99339.56,37.85
